web-scraper-order,web-scraper-start-url,pages,pages-href,hotel_name,price
"1690654610-13","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","163. Villa Antilope",""
"1690654610-14","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","164. Departamentos Viento Suites",""
"1690654610-15","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","165. Cancun Dreams Lagoon",""
"1690654610-16","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","166. Caribbean Princess Resort",""
"1690654610-17","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","167. Cancun Suites Apartments - Hotel Zone",""
"1690654610-18","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","168. Krystal Cancun All Inclusive",""
"1690654610-19","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","169. Hotel Suites Le Monde",""
"1690654610-20","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","170. Studiotel Cancun",""
"1690654610-21","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","171. Hostel Kaana 4 You",""
"1690654610-22","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","172. Bed & Breakfast Cielito Lindo",""
"1690654610-23","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","173. La Casa Del Arbol",""
"1690654610-24","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","174. Residencia Los Encantos",""
"1690654610-25","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","175. Hostel Maya Cha'an",""
"1690654610-26","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","176. Quinta Juventina",""
"1690654610-27","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","177. Casa Campestre",""
"1690654610-28","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","178. Estancia Tulbayab 36",""
"1690654610-29","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","179. Hostal Urbano",""
